AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2021;11;09;15;0;0.000124312432;0.000127293230;0.000208076279;;
2021;11;09;16;0;0.000117762961;0.000122236589;0.000209132006;;
2021;11;09;17;0;0.000113481675;0.000123614988;0.000191425586;;
2021;11;09;18;0;0.000117537411;0.000127930489;0.000184445858;;
2021;11;09;19;0;0.000137549273;0.000138982521;0.000192310410;;
2021;11;09;20;0;0.000152899622;0.000132422381;0.000200867023;;
2021;11;09;21;0;0.000166764038;0.000120330078;0.000182483446;;
2021;11;09;22;0;0.000168903339;0.000104839826;0.000160231681;;
2021;11;09;23;0;0.000153496688;0.000090430688;0.000109892585;;
2021;11;09;24;0;0.000125516005;0.000080433431;0.000094654829;;
2021;11;10;1;0;0.000099015773;0.000075630069;0.000058552086;;
2021;11;10;2;0;0.000080989130;0.000072184510;0.000051459391;;
2021;11;10;3;0;0.000071496212;0.000070890988;0.000046682471;;
2021;11;10;4;0;0.000067194346;0.000070399039;0.000038057367;;
2021;11;10;5;0;0.000065861299;0.000070590023;0.000027497569;;
2021;11;10;6;0;0.000068215346;0.000073072165;0.000031239254;;
2021;11;10;7;0;0.000079610943;0.000083206227;0.000027974050;;
2021;11;10;8;0;0.000104553906;0.000101991363;0.000042572827;;
2021;11;10;9;0;0.000113741289;0.000130246575;0.000105293108;;
2021;11;10;10;0;0.000114900463;0.000150528399;0.000192671255;;
2021;11;10;11;0;0.000118243082;0.000156855758;0.000234967985;;
2021;11;10;12;0;0.000117481352;0.000156203960;0.000233426490;;
2021;11;10;13;0;0.000118242792;0.000155581474;0.000214579263;;
2021;11;10;14;0;0.000126112390;0.000147264061;0.000209080052;;
2021;11;10;15;0;0.000127007200;0.000129889781;0.000211398857;;
2021;11;10;16;0;0.000120042789;0.000124609057;0.000212471443;;
2021;11;10;17;0;0.000115186558;0.000125785912;0.000194482284;;
2021;11;10;18;0;0.000119108294;0.000130087108;0.000187391104;;
2021;11;10;19;0;0.000139190578;0.000141241119;0.000195381238;;
2021;11;10;20;0;0.000154641569;0.000134543646;0.000204074483;;
2021;11;10;21;0;0.000168459195;0.000122193880;0.000185397356;;
2021;11;10;22;0;0.000170440196;0.000106414980;0.000162790273;;
2021;11;10;23;0;0.000154777421;0.000091759985;0.000111647359;;
2021;11;10;24;0;0.000126477374;0.000081592398;0.000096166285;;
2021;11;11;1;0;0.000099200766;0.000075773806;0.000058640181;;
2021;11;11;2;0;0.000081222078;0.000072352912;0.000051536815;;
2021;11;11;3;0;0.000071757462;0.000071079935;0.000046752709;;
2021;11;11;4;0;0.000067355909;0.000070548954;0.000038114627;;
2021;11;11;5;0;0.000066183236;0.000070815155;0.000027538941;;
2021;11;11;6;0;0.000068470621;0.000073268970;0.000031286255;;
2021;11;11;7;0;0.000079736201;0.000083353734;0.000028016139;;
2021;11;11;8;0;0.000104701240;0.000102165085;0.000042636881;;
2021;11;11;9;0;0.000113596623;0.000130320270;0.000105451529;;
2021;11;11;10;0;0.000115067903;0.000150787853;0.000192961143;;
2021;11;11;11;0;0.000118305719;0.000157064488;0.000235321512;;
2021;11;11;12;0;0.000117434862;0.000156350590;0.000233777697;;
2021;11;11;13;0;0.000118246704;0.000155755696;0.000214902113;;
2021;11;11;14;0;0.000126003612;0.000147372478;0.000209394628;;
2021;11;11;15;0;0.000127013899;0.000130035855;0.000211716922;;
2021;11;11;16;0;0.000120083856;0.000124764690;0.000212791121;;
2021;11;11;17;0;0.000115538454;0.000126087948;0.000194774897;;
2021;11;11;18;0;0.000119428552;0.000130378794;0.000187673047;;
2021;11;11;19;0;0.000139602070;0.000141573848;0.000195675203;;
2021;11;11;20;0;0.000154787560;0.000134746323;0.000204381528;;
2021;11;11;21;0;0.000168408477;0.000122313147;0.000185676299;;
2021;11;11;22;0;0.000170544886;0.000106560123;0.000163035203;;
2021;11;11;23;0;0.000154763510;0.000091857564;0.000111815340;;
